Sample	FastQC_percent_duplicates	FastQC_percent_gc	FastQC_avg_sequence_length	FastQC_total_sequences	FastQC_percent_fails
SRR6939910	14.0458029282	52.0	50.0	36222453.0	0.0
SRR6939911	14.4867936807	52.0	50.0	39405487.0	0.0
SRR6939912	15.4555473425	51.0	50.0	47900766.0	0.0
SRR6939913	15.7810139257	51.0	50.0	51974556.0	0.0
SRR6939914	12.8183646917	52.0	50.0	55280631.0	0.0
SRR6939915	13.3391921183	52.0	50.0	59737891.0	0.0
SRR6939916	14.6204904549	50.0	50.0	17621393.0	20.0
SRR6939917	14.0813233029	50.0	50.0	17085824.0	20.0
SRR6939918	14.3045903448	50.0	50.0	14438439.0	20.0
SRR6939919	13.3891699101	50.0	50.0	19947580.0	20.0
SRR6939920	11.1098442288	50.0	50.0	28452115.0	0.0
SRR6939921	11.163124867	50.0	50.0	27518010.0	0.0
SRR6939922	11.6100779596	49.0	50.0	27512189.0	0.0
